Back In Black,AC/DC,Back In Black,4
Creeping Death,Metallica,Ride The Lightning,5
Crazy Train,Ozzy Osbourne,Blizzard of Ozz,3
Levitating,Dua Lipa,Future Nostalgia,3
Africa,TOTO,Toto IV,4
Mas,Luis Miguel,20 años,4
Por Debajo de la Mesa,Luis Miguel,Romances,3
I Feel It Coming,The Weekend - Daft Punk,Starboy,3
Island In The Sun,Weezer,Green,1
Peces e Iguanas,Bohemia Suburbana,Mil Palabras con sus Dientes,4
The Nights,Avicii,The Days/Nights,3
Some Migth Say,Oasis,(What's The Story) Morning Glory?,4
Indestructibles,La Habitacion Roja,Fue Electrico,3
Empire State Of Mind,JAY-Z Alicia Keys,The Blueprint 3,1
We Didnt Start The Fire,Billy Joel,Storm Front,4
Echoes,Pink Floyd,Meddle,5
Dr. Feelgood,Mptley Crue,Dr. Feelgood,4
In This Shirt,The Irrepressibles,From the Circus to the Sea,5
Nubes,Caifanes,El Silencio,3
Azul Oscuro,Zurdok,Gran Salto 1997-2014,4
Me Volvi a Enamorar de Ti,Los Angeles de Charly,Te Voy a Enamorar,2
Midnight City,M83,Hurry Up We are Dreaming,2
La Flaca,Jarabe de Palo,La Flaca,3
Stuck In The Middle,Mike Posner,A Real Good Kid,4
Fuego,El Mato a Un Policia Motorizado,La Sintesis O Konnor,2
